电影名,影评
肖申克的救赎,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
肖申克的救赎,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
肖申克的救赎,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。"
肖申克的救赎,策划了19年的私奔……
肖申克的救赎,关于希望最强有力的注释。
肖申克的救赎,有种鸟是关不住的.
肖申克的救赎,"超级喜欢超级喜欢,不看的话人生不圆满."
肖申克的救赎,"Fear Can Hold You Prisoner, Hope Can Set You Free"
肖申克的救赎,这样的男人谁会舍得背叛。。。
肖申克的救赎,"一部没有爱情与美女的电影,却光芒四射"
肖申克的救赎,"因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！

说起来，自打高一时看过《肖申克的救赎》，男主角安迪的精神就持续影响着我，成为我价值观的一部分。那种持续不断给有关机构写信申请图书馆的精神，那种拒绝“忙着活，忙着死”的人生的精神，那种迫不得已作恶却良心不泯正义终彰的精神，那种享受生命中每一刻微小的美好的精神，那种在困境中梦想着远方有一小块属于自己乐土的精神，那种甘于平凡且活得自在的精神。一言以蔽之，那种属于“人性的光辉”的精神。"
肖申克的救赎,"“你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。”
一部经得起时间检验的电影，豆瓣、时光网、IMDb各大电影网站都排名第一的电影。"
肖申克的救赎,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope
肖申克的救赎,没有人会不喜欢吧！书和电影都好。
肖申克的救赎,还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。
肖申克的救赎,一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。
肖申克的救赎,肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存
肖申克的救赎,这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！
肖申克的救赎,hope is a good thing
肖申克的救赎,对不起，我戒酒了。
肖申克的救赎,"Hope is a good thing, and maybe the best thing of all."
肖申克的救赎,不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分
肖申克的救赎,越狱我感觉就是改编自这个
肖申克的救赎,这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴
肖申克的救赎,明修栈道，暗渡陈仓
肖申克的救赎,若你试自由如生命，你愿意用20年等来一日的逃脱。
